Theme,Palette Name,Color Index,R,G,B
earth,Safari Adventure,11,0.7500,0.6500,0.2500
earth,Stone Garden,0,0.4000,0.4000,0.4000
earth,Stone Garden,1,0.5000,0.5000,0.5000
earth,Stone Garden,2,0.6000,0.6000,0.6000
earth,Stone Garden,3,0.3000,0.3000,0.3000
earth,Stone Garden,4,0.2000,0.2000,0.2000
earth,Stone Garden,5,0.1000,0.1000,0.1000
earth,Stone Garden,6,0.4500,0.4000,0.3500
earth,Stone Garden,7,0.5500,0.5000,0.4500
earth,Stone Garden,8,0.6500,0.6000,0.5500
earth,Stone Garden,9,0.3500,0.3000,0.2500
earth,Stone Garden,10,0.2500,0.2000,0.1500
earth,Stone Garden,11,0.1500,0.1000,0.0800
earth,Terracotta Hills,0,0.8000,0.4000,0.2000
earth,Terracotta Hills,1,0.7000,0.3000,0.1000
earth,Terracotta Hills,2,0.8500,0.7500,0.6000
earth,Terracotta Hills,3,0.4000,0.4500,0.2000
earth,Terracotta Hills,4,0.9000,0.6000,0.1000
earth,Terracotta Hills,5,0.6000,0.5500,0.5000
earth,Terracotta Hills,6,0.7000,0.5000,0.5500
earth,Terracotta Hills,7,0.3500,0.2000,0.1000
earth,Terracotta Hills,8,0.6500,0.6000,0.7000
earth,Terracotta Hills,9,0.9000,0.8800,0.8000
earth,Terracotta Hills,10,0.8000,0.4000,0.2000
earth,Terracotta Hills,11,0.7000,0.3000,0.1000
earth,Volcanic Soil,0,0.1000,0.0800,0.0500
earth,Volcanic Soil,1,0.2000,0.1500,0.1000
earth,Volcanic Soil,2,0.3000,0.2500,0.1800
earth,Volcanic Soil,3,0.1500,0.1000,0.0800
earth,Volcanic Soil,4,0.0500,0.0500,0.0500
earth,Volcanic Soil,5,0.4000,0.3000,0.2500
earth,Volcanic Soil,6,0.2500,0.2000,0.1500
earth,Volcanic Soil,7,0.5000,0.1000,0.0500
earth,Volcanic Soil,8,0.3500,0.3500,0.3000
earth,Volcanic Soil,9,0.2000,0.1800,0.1800
earth,Volcanic Soil,10,0.1000,0.1000,0.1200
earth,Volcanic Soil,11,0.0800,0.0600,0.0400
earthcool,Forest Stream,0,0.1000,0.3000,0.1500
earthcool,Forest Stream,1,0.4000,0.3000,0.2000
earthcool,Forest Stream,2,0.5000,0.5500,0.6000
earthcool,Forest Stream,3,0.3000,0.6000,0.7000
earthcool,Forest Stream,4,0.2000,0.4500,0.2500
earthcool,Forest Stream,5,0.6000,0.5000,0.4000
earthcool,Forest Stream,6,0.2500,0.3000,0.3500
earthcool,Forest Stream,7,0.4000,0.7000,0.8000
earthcool,Forest Stream,8,0.1500,0.2000,0.1000
earthcool,Forest Stream,9,0.7000,0.8000,0.8500
earthcool,Forest Stream,10,0.3500,0.5000,0.3000
earthcool,Forest Stream,11,0.4500,0.6500,0.6000
earthcool,Tropical Rainforest Mist,0,0.4000,0.5500,0.4500
earthcool,Tropical Rainforest Mist,1,0.3000,0.4500,0.5000
earthcool,Tropical Rainforest Mist,2,0.5000,0.5500,0.5200
earthcool,Tropical Rainforest Mist,3,0.3500,0.3000,0.2500
earthcool,Tropical Rainforest Mist,4,0.6000,0.7000,0.6500
earthcool,Tropical Rainforest Mist,5,0.2000,0.3000,0.2200
earthcool,Tropical Rainforest Mist,6,0.7000,0.7500,0.8000
earthcool,Tropical Rainforest Mist,7,0.4500,0.5000,0.4000
earthcool,Tropical Rainforest Mist,8,0.2500,0.4000,0.4500
earthcool,Tropical Rainforest Mist,9,0.5500,0.6000,0.6500
earthcool,Tropical Rainforest Mist,10,0.3000,0.2500,0.2000
earthcool,Tropical Rainforest Mist,11,0.6500,0.7000,0.5500
earthneutral,Ancient Scroll,0,0.9500,0.9000,0.8000
earthneutral,Ancient Scroll,1,0.8800,0.8200,0.7000
earthneutral,Ancient Scroll,2,0.4000,0.3000,0.2000
earthneutral,Ancient Scroll,3,0.3000,0.2000,0.1500
earthneutral,Ancient Scroll,4,0.6000,0.6500,0.7000
earthneutral,Ancient Scroll,5,0.7000,0.5000,0.4500
earthneutral,Ancient Scroll,6,0.9800,0.9600,0.9000
earthneutral,Ancient Scroll,7,0.7500,0.6800,0.5800
earthneutral,Ancient Scroll,8,0.2000,0.1500,0.1000
earthneutral,Ancient Scroll,9,0.5000,0.4000,0.3500
earthneutral,Ancient Scroll,10,0.8000,0.7800,0.7500
earthneutral,Ancient Scroll,11,0.9000,0.8800,0.8200
earthwarm,Vintage Library,0,0.4000,0.2000,0.1000
earthwarm,Vintage Library,1,0.9000,0.8500,0.7000
earthwarm,Vintage Library,2,0.5000,0.1000,0.1000
earthwarm,Vintage Library,3,0.3000,0.4000,0.2000
earthwarm,Vintage Library,4,0.7000,0.5000,0.2000
earthwarm,Vintage Library,5,0.6000,0.4000,0.2500
earthwarm,Vintage Library,6,0.2000,0.1000,0.0500
earthwarm,Vintage Library,7,0.8000,0.7500,0.6000
earthwarm,Vintage Library,8,0.3500,0.0500,0.0500
earthwarm,Vintage Library,9,0.2000,0.2500,0.1500
earthwarm,Vintage Library,10,0.8500,0.6500,0.3000
earthwarm,Vintage Library,11,0.5000,0.3000,0.1500
fantasy,Dragon's Hoard,0,0.8000,0.6000,0.1000
fantasy,Dragon's Hoard,1,0.9000,0.7000,0.2000
fantasy,Dragon's Hoard,2,1.0000,0.8000,0.3000
fantasy,Dragon's Hoard,3,0.7000,0.5000,0.0500
fantasy,Dragon's Hoard,4,0.6000,0.4000,0.0200
fantasy,Dragon's Hoard,5,0.5000,0.3000,0.0000
fantasy,Dragon's Hoard,6,0.3000,0.1000,0.0000
fantasy,Dragon's Hoard,7,0.4000,0.1500,0.0500
fantasy,Dragon's Hoard,8,0.2000,0.0500,0.0000
fantasy,Dragon's Hoard,9,0.1000,0.0200,0.0000
fantasy,Dragon's Hoard,10,0.8500,0.6500,0.1500
fantasy,Dragon's Hoard,11,0.9500,0.7500,0.2500
fantasy,Dragon's Scales,0,0.1000,0.3000,0.0500
fantasy,Dragon's Scales,1,0.2000,0.4000,0.1000
fantasy,Dragon's Scales,2,0.3000,0.5000,0.1500
fantasy,Dragon's Scales,3,0.4000,0.6000,0.2000
fantasy,Dragon's Scales,4,0.0500,0.1000,0.1500
fantasy,Dragon's Scales,5,0.1000,0.1500,0.2000
fantasy,Dragon's Scales,6,0.1500,0.2000,0.2500
fantasy,Dragon's Scales,7,0.2000,0.2500,0.3000
fantasy,Dragon's Scales,8,0.0000,0.0000,0.0000
fantasy,Dragon's Scales,9,0.0500,0.0500,0.0500
fantasy,Dragon's Scales,10,0.1000,0.1000,0.1000
fantasy,Dragon's Scales,11,0.1500,0.1500,0.1500
fantasy,Enchanted Lake,0,0.0000,0.3000,0.5000
fantasy,Enchanted Lake,1,0.1000,0.4000,0.6000
fantasy,Enchanted Lake,2,0.2000,0.5000,0.7000
fantasy,Enchanted Lake,3,0.3000,0.6000,0.8000
fantasy,Enchanted Lake,4,0.4000,0.7000,0.9000
fantasy,Enchanted Lake,5,0.5000,0.8000,1.0000
fantasy,Enchanted Lake,6,0.6000,0.9000,1.0000
fantasy,Enchanted Lake,7,0.0500,0.1000,0.0500
fantasy,Enchanted Lake,8,0.1000,0.2000,0.1000
fantasy,Enchanted Lake,9,0.1500,0.2500,0.1500
fantasy,Enchanted Lake,10,0.2000,0.3000,0.2000
fantasy,Enchanted Lake,11,0.2500,0.3500,0.2500
fantasy,Fairy Glen,0,0.4000,0.6000,0.3000
fantasy,Fairy Glen,1,0.5000,0.7000,0.4000
fantasy,Fairy Glen,2,0.7000,0.6000,0.8000
fantasy,Fairy Glen,3,0.6000,0.5000,0.7000
fantasy,Fairy Glen,4,0.6000,0.7500,0.8500
fantasy,Fairy Glen,5,0.5000,0.6500,0.7500
fantasy,Fairy Glen,6,0.5000,0.4000,0.2500
fantasy,Fairy Glen,7,0.3500,0.2500,0.1000
fantasy,Fairy Glen,8,0.9000,0.8000,0.4000
fantasy,Fairy Glen,9,0.8000,0.7000,0.3000
fantasy,Fairy Glen,10,0.8500,0.8000,0.9000
fantasy,Fairy Glen,11,0.3000,0.5000,0.2000
fantasy,Mystic Forest,0,0.1000,0.2000,0.1000
fantasy,Mystic Forest,1,0.2000,0.3000,0.2000
fantasy,Mystic Forest,2,0.3000,0.4000,0.3000
fantasy,Mystic Forest,3,0.4000,0.5000,0.4000
fantasy,Mystic Forest,4,0.5000,0.6000,0.5000
fantasy,Mystic Forest,5,0.0500,0.1500,0.0500
fantasy,Mystic Forest,6,0.1000,0.1000,0.2000
fantasy,Mystic Forest,7,0.1500,0.1500,0.3000
fantasy,Mystic Forest,8,0.2000,0.2000,0.4000
fantasy,Mystic Forest,9,0.3000,0.3000,0.5000
fantasy,Mystic Forest,10,0.0000,0.0000,0.0000
fantasy,Mystic Forest,11,0.6000,0.7000,0.6000
fantasy,Unicorn Horn,0,0.9500,0.9000,1.0000
fantasy,Unicorn Horn,1,0.9000,0.8500,0.9500
fantasy,Unicorn Horn,2,0.8500,0.8000,0.9000
fantasy,Unicorn Horn,3,0.8000,0.7500,0.8500
fantasy,Unicorn Horn,4,0.7500,0.7000,0.8000
fantasy,Unicorn Horn,5,0.7000,0.6500,0.7500
fantasy,Unicorn Horn,6,0.9800,0.9300,0.9800
fantasy,Unicorn Horn,7,0.9300,0.8800,0.9300
fantasy,Unicorn Horn,8,0.8800,0.8300,0.8800
fantasy,Unicorn Horn,9,0.8300,0.7800,0.8300
fantasy,Unicorn Horn,10,0.7800,0.7300,0.7800
fantasy,Unicorn Horn,11,0.7300,0.6800,0.7300
metallic,Aged Copper,0,0.7000,0.4000,0.2000
metallic,Aged Copper,1,0.6000,0.3000,0.1500
metallic,Aged Copper,2,0.5000,0.2500,0.1000
metallic,Aged Copper,3,0.4000,0.2000,0.0800
metallic,Aged Copper,4,0.3000,0.1500,0.0500
metallic,Aged Copper,5,0.2000,0.1000,0.0300
metallic,Aged Copper,6,0.3000,0.5000,0.4500
metallic,Aged Copper,7,0.2500,0.4500,0.4000
metallic,Aged Copper,8,0.2000,0.4000,0.3500
metallic,Aged Copper,9,0.6000,0.3500,0.1800
metallic,Aged Copper,10,0.7500,0.4500,0.2500
metallic,Aged Copper,11,0.8000,0.5000,0.3000
metallic,Antique Treasures,0,0.5000,0.5200,0.5500
metallic,Antique Treasures,1,0.7000,0.6000,0.2000
metallic,Antique Treasures,2,0.2500,0.4500,0.4000
metallic,Antique Treasures,3,0.5500,0.4500,0.2000
metallic,Antique Treasures,4,0.4000,0.4200,0.4500
metallic,Antique Treasures,5,0.4500,0.3000,0.1000
metallic,Antique Treasures,6,0.6500,0.3500,0.1500
metallic,Antique Treasures,7,0.3500,0.4000,0.4800
metallic,Antique Treasures,8,0.9000,0.8800,0.8200
metallic,Antique Treasures,9,0.2500,0.2500,0.2800
metallic,Antique Treasures,10,0.6000,0.5000,0.3000
metallic,Antique Treasures,11,0.3000,0.2800,0.2500
metallic,Dark Iron,0,0.1000,0.1000,0.1000
metallic,Dark Iron,1,0.1500,0.1500,0.1500
metallic,Dark Iron,2,0.2000,0.2000,0.2000
metallic,Dark Iron,3,0.2500,0.2500,0.2500
metallic,Dark Iron,4,0.3000,0.3000,0.3000
metallic,Dark Iron,5,0.3500,0.3500,0.3500
metallic,Dark Iron,6,0.0500,0.0500,0.0500
metallic,Dark Iron,7,0.0800,0.0800,0.0800
metallic,Dark Iron,8,0.4000,0.4000,0.4000
metallic,Dark Iron,9,0.1200,0.1200,0.1200
metallic,Dark Iron,10,0.2800,0.2800,0.2800
metallic,Dark Iron,11,0.3200,0.3200,0.3200
metallic,Liquid Chrome,0,0.6000,0.6200,0.6500
metallic,Liquid Chrome,1,0.7000,0.7200,0.7500
metallic,Liquid Chrome,2,0.8000,0.8200,0.8500
metallic,Liquid Chrome,3,0.9000,0.9200,0.9500
metallic,Liquid Chrome,4,0.5000,0.5200,0.5500
metallic,Liquid Chrome,5,0.4000,0.4200,0.4500
metallic,Liquid Chrome,6,0.3000,0.3200,0.3500
metallic,Liquid Chrome,7,0.9500,0.9600,0.9800
metallic,Liquid Chrome,8,0.2000,0.2200,0.2500
metallic,Liquid Chrome,9,0.8500,0.8500,0.8500
metallic,Liquid Chrome,10,0.7500,0.7800,0.8000
metallic,Liquid Chrome,11,0.6500,0.6500,0.6800
metallic,Mithril,0,0.8500,0.8800,0.9000
metallic,Mithril,1,0.9000,0.9200,0.9500
metallic,Mithril,2,0.7500,0.7800,0.8000
metallic,Mithril,3,0.6500,0.6800,0.7000
metallic,Mithril,4,0.5500,0.5800,0.6000
metallic,Mithril,5,0.4500,0.4800,0.5000
metallic,Mithril,6,0.3500,0.3800,0.4000
metallic,Mithril,7,0.2500,0.2800,0.3000
metallic,Mithril,8,0.9500,0.9800,1.0000
metallic,Mithril,9,0.8000,0.8000,0.8200
metallic,Mithril,10,0.7000,0.7000,0.7200
metallic,Mithril,11,0.6000,0.6000,0.6200
metallic,Platinum Elegance,0,0.8500,0.8500,0.8800
metallic,Platinum Elegance,1,0.9000,0.9000,0.9200
metallic,Platinum Elegance,2,0.7500,0.7500,0.7800
metallic,Platinum Elegance,3,0.6500,0.6500,0.6800
metallic,Platinum Elegance,4,0.5500,0.5500,0.5800
metallic,Platinum Elegance,5,0.4500,0.4500,0.4800
metallic,Platinum Elegance,6,0.3500,0.3500,0.3800
metallic,Platinum Elegance,7,0.2500,0.2500,0.2800
metallic,Platinum Elegance,8,0.9500,0.9500,0.9800
metallic,Platinum Elegance,9,0.8000,0.8000,0.8300
metallic,Platinum Elegance,10,0.7000,0.7000,0.7300
metallic,Platinum Elegance,11,0.6000,0.6000,0.6300
metallic,Polished Metals,0,0.8300,0.6900,0.2200
metallic,Polished Metals,1,0.7500,0.7500,0.7500
metallic,Polished Metals,2,0.3400,0.5700,0.5100
metallic,Polished Metals,3,0.6000,0.4000,0.1500
metallic,Polished Metals,4,0.4500,0.5000,0.5500
metallic,Polished Metals,5,0.9100,0.7000,0.6400
metallic,Polished Metals,6,0.5300,0.5300,0.5600
metallic,Polished Metals,7,0.8500,0.8600,0.8800
metallic,Polished Metals,8,0.7100,0.6500,0.2600
metallic,Polished Metals,9,0.7200,0.2900,0.0800
metallic,Polished Metals,10,0.6500,0.6000,0.5800
metallic,Polished Metals,11,0.4000,0.3800,0.3500
metallic,Rusty Steampunk,0,0.6000,0.2500,0.1000
metallic,Rusty Steampunk,1,0.7000,0.3000,0.1500
metallic,Rusty Steampunk,2,0.8000,0.3500,0.2000
metallic,Rusty Steampunk,3,0.5000,0.2000,0.0500
metallic,Rusty Steampunk,4,0.4000,0.1500,0.0200
metallic,Rusty Steampunk,5,0.3000,0.1000,0.0100
metallic,Rusty Steampunk,6,0.4500,0.4000,0.3500
metallic,Rusty Steampunk,7,0.5500,0.5000,0.4500
metallic,Rusty Steampunk,8,0.6500,0.6000,0.5500
metallic,Rusty Steampunk,9,0.7500,0.7000,0.6500
metallic,Rusty Steampunk,10,0.8500,0.8000,0.7500
metallic,Rusty Steampunk,11,0.9500,0.9000,0.8500
monochrome,Charcoal Sketch,0,0.0200,0.0200,0.0200
monochrome,Charcoal Sketch,1,0.1500,0.1500,0.1500
monochrome,Charcoal Sketch,2,0.3500,0.3500,0.3500
monochrome,Charcoal Sketch,3,0.5500,0.5500,0.5500
monochrome,Charcoal Sketch,4,0.9500,0.9500,0.9500
monochrome,Charcoal Sketch,5,0.2500,0.2500,0.2500
monochrome,Charcoal Sketch,6,0.7500,0.7500,0.7500
monochrome,Charcoal Sketch,7,0.2000,0.2200,0.2800
monochrome,Charcoal Sketch,8,0.4000,0.3500,0.3000
monochrome,Charcoal Sketch,9,0.8800,0.8800,0.8500
monochrome,Charcoal Sketch,10,0.0200,0.0200,0.0200
monochrome,Charcoal Sketch,11,0.1500,0.1500,0.1500
monochrome,Graphite Study,0,0.0500,0.0500,0.0600
monochrome,Graphite Study,1,0.1000,0.1000,0.1200
monochrome,Graphite Study,2,0.1800,0.1800,0.2000
monochrome,Graphite Study,3,0.2500,0.2500,0.2800
monochrome,Graphite Study,4,0.3500,0.3500,0.3800
monochrome,Graphite Study,5,0.4500,0.4500,0.4800
monochrome,Graphite Study,6,0.5500,0.5500,0.5800
monochrome,Graphite Study,7,0.6500,0.6500,0.6800
monochrome,Graphite Study,8,0.7500,0.7500,0.7800
monochrome,Graphite Study,9,0.2000,0.2200,0.2500
monochrome,Graphite Study,10,0.4000,0.4200,0.4500
monochrome,Graphite Study,11,0.1200,0.1200,0.1500
monochrome,Minimalist Beige,0,0.9600,0.9400,0.9000
monochrome,Minimalist Beige,1,0.9000,0.8500,0.7800
monochrome,Minimalist Beige,2,0.8200,0.7500,0.6500
monochrome,Minimalist Beige,3,0.6500,0.5800,0.5000
monochrome,Minimalist Beige,4,0.7500,0.7000,0.5800
monochrome,Minimalist Beige,5,0.7800,0.7800,0.7500
monochrome,Minimalist Beige,6,0.9800,0.9700,0.9500
monochrome,Minimalist Beige,7,0.7500,0.6000,0.6200
monochrome,Minimalist Beige,8,0.6000,0.6200,0.5500
monochrome,Minimalist Beige,9,0.3000,0.2500,0.2200
monochrome,Minimalist Beige,10,0.8500,0.8000,0.7000
monochrome,Minimalist Beige,11,0.7000,0.6500,0.6000
monochrome,Urban Steel,0,0.1000,0.1000,0.1200
monochrome,Urban Steel,1,0.5000,0.5000,0.5500
monochrome,Urban Steel,2,0.4000,0.4500,0.5000
monochrome,Urban Steel,3,0.7500,0.7500,0.7800
monochrome,Urban Steel,4,0.6000,0.7000,0.7500
monochrome,Urban Steel,5,0.6000,0.3000,0.1000
monochrome,Urban Steel,6,0.0500,0.0500,0.0500
monochrome,Urban Steel,7,0.9000,0.9000,0.9200
monochrome,Urban Steel,8,0.5000,0.2500,0.2000
monochrome,Urban Steel,9,0.8000,0.8000,0.7000
monochrome,Urban Steel,10,0.1000,0.1000,0.1200
monochrome,Urban Steel,11,0.5000,0.5000,0.5500
monochrome,White Marble,0,0.9500,0.9500,0.9800
monochrome,White Marble,1,0.9000,0.9000,0.9300
monochrome,White Marble,2,0.8500,0.8500,0.8800
monochrome,White Marble,3,0.8000,0.8000,0.8300
monochrome,White Marble,4,0.7500,0.7500,0.7800
monochrome,White Marble,5,0.7000,0.7000,0.7300
monochrome,White Marble,6,0.6500,0.6500,0.6800
monochrome,White Marble,7,0.6000,0.6000,0.6300
monochrome,White Marble,8,0.9800,0.9800,1.0000
monochrome,White Marble,9,0.5500,0.5500,0.5800
monochrome,White Marble,10,0.5000,0.5000,0.5300
monochrome,White Marble,11,0.4500,0.4500,0.4800
pastel,Candy Pop,0,0.9500,0.5000,0.7000
pastel,Candy Pop,1,0.9800,0.9000,0.3000
pastel,Candy Pop,2,0.5000,0.9000,0.4000
pastel,Candy Pop,3,0.2000,0.6000,0.9500
pastel,Candy Pop,4,0.6000,0.3000,0.8000
pastel,Candy Pop,5,1.0000,0.6000,0.2000
pastel,Candy Pop,6,0.9000,0.1000,0.2500
pastel,Candy Pop,7,0.6000,0.8000,1.0000
pastel,Candy Pop,8,0.4000,0.9500,0.7000
pastel,Candy Pop,9,0.9800,0.9500,0.8500
pastel,Candy Pop,10,0.9500,0.5000,0.7000
pastel,Candy Pop,11,0.9800,0.9000,0.3000
pastel,Cloud Nine,0,0.9500,0.9500,1.0000
pastel,Cloud Nine,1,0.9000,0.9000,0.9500
pastel,Cloud Nine,2,0.8500,0.8500,0.9000
pastel,Cloud Nine,3,0.8000,0.8000,0.8500
pastel,Cloud Nine,4,0.7500,0.7500,0.8000
pastel,Cloud Nine,5,0.7000,0.7000,0.7500
pastel,Cloud Nine,6,0.6500,0.6500,0.7000
pastel,Cloud Nine,7,0.6000,0.6000,0.6500
pastel,Cloud Nine,8,0.9800,0.9800,0.9900
pastel,Cloud Nine,9,0.9300,0.9300,0.9400
pastel,Cloud Nine,10,0.8800,0.8800,0.8900
pastel,Cloud Nine,11,0.8300,0.8300,0.8400
pastel,Cotton Candy,0,0.9800,0.8000,0.9000
pastel,Cotton Candy,1,0.9000,0.7000,0.9500
pastel,Cotton Candy,2,0.8500,0.8500,1.0000
pastel,Cotton Candy,3,0.8000,0.9500,0.9000
pastel,Cotton Candy,4,0.9500,0.9000,0.8000
pastel,Cotton Candy,5,1.0000,0.8500,0.8500
pastel,Cotton Candy,6,0.8500,0.9000,1.0000
pastel,Cotton Candy,7,0.9000,1.0000,0.8500
pastel,Cotton Candy,8,1.0000,0.9000,0.9000
pastel,Cotton Candy,9,0.9000,0.8500,0.9500
pastel,Cotton Candy,10,0.8500,0.9500,0.9500
pastel,Cotton Candy,11,0.9500,0.9500,0.8500
pastel,Dreamy Sorbet,0,1.0000,0.8500,0.7500
pastel,Dreamy Sorbet,1,0.8000,0.9500,0.9000
pastel,Dreamy Sorbet,2,0.9000,0.8000,0.9500
pastel,Dreamy Sorbet,3,0.9500,0.9500,0.7500
pastel,Dreamy Sorbet,4,0.7500,0.9000,1.0000
pastel,Dreamy Sorbet,5,1.0000,0.7500,0.8500
pastel,Dreamy Sorbet,6,0.8500,0.8000,0.7000
pastel,Dreamy Sorbet,7,0.9000,0.9800,0.8200
pastel,Dreamy Sorbet,8,1.0000,0.9000,0.9000
pastel,Dreamy Sorbet,9,0.7000,0.8500,0.8000
pastel,Dreamy Sorbet,10,0.9500,0.7000,0.8000
pastel,Dreamy Sorbet,11,0.8000,0.7000,0.9000
pastel,Lavender Field,0,0.7000,0.6000,0.8000
pastel,Lavender Field,1,0.7500,0.6500,0.8500
pastel,Lavender Field,2,0.8000,0.7000,0.9000
pastel,Lavender Field,3,0.8500,0.7500,0.9500
pastel,Lavender Field,4,0.9000,0.8000,1.0000
pastel,Lavender Field,5,0.6000,0.5000,0.7000
pastel,Lavender Field,6,0.5000,0.4000,0.6000
pastel,Lavender Field,7,0.4000,0.3000,0.5000
pastel,Lavender Field,8,0.9500,0.9000,0.9800
pastel,Lavender Field,9,0.8000,0.8500,0.7500
pastel,Lavender Field,10,0.7000,0.7500,0.6500
pastel,Lavender Field,11,0.6500,0.7000,0.6000
pastel,Misty Morning Meadow,0,0.7000,0.8500,0.7000
pastel,Misty Morning Meadow,1,0.6500,0.8000,0.6500
pastel,Misty Morning Meadow,2,0.6000,0.7500,0.6000
pastel,Misty Morning Meadow,3,0.8000,0.9000,0.8000
pastel,Misty Morning Meadow,4,0.7500,0.8500,0.7500
pastel,Misty Morning Meadow,5,0.7000,0.8000,0.7000
pastel,Misty Morning Meadow,6,0.8000,0.8500,0.9000
pastel,Misty Morning Meadow,7,0.7500,0.8000,0.8500
pastel,Misty Morning Meadow,8,0.7000,0.7500,0.8000
pastel,Misty Morning Meadow,9,0.9000,0.9500,0.9000
pastel,Misty Morning Meadow,10,0.8500,0.9000,0.8500
pastel,Misty Morning Meadow,11,0.6000,0.7000,0.6500
pastel,Opal Sheen,0,0.9500,0.9800,1.0000
pastel,Opal Sheen,1,1.0000,0.9200,0.9500
pastel,Opal Sheen,2,0.9200,1.0000,0.9500
pastel,Opal Sheen,3,1.0000,1.0000,0.9000
pastel,Opal Sheen,4,0.9500,0.9000,1.0000
pastel,Opal Sheen,5,0.9900,0.9900,0.9900
pastel,Opal Sheen,6,0.8800,0.9200,0.9800
pastel,Opal Sheen,7,0.9800,0.8800,0.9200
pastel,Opal Sheen,8,0.8800,0.9800,0.9200
pastel,Opal Sheen,9,0.9800,0.9800,0.8500
pastel,Opal Sheen,10,0.9200,0.8500,0.9800
pastel,Opal Sheen,11,0.9000,0.9000,0.9000
pastel,Pastel Dreams,0,0.9800,0.7500,0.8000
pastel,Pastel Dreams,1,0.7000,0.8500,0.9800
pastel,Pastel Dreams,2,0.7000,0.9500,0.8000
pastel,Pastel Dreams,3,0.8500,0.7000,0.9000
pastel,Pastel Dreams,4,1.0000,0.8000,0.6500
pastel,Pastel Dreams,5,1.0000,0.9500,0.7000
pastel,Pastel Dreams,6,0.6500,0.9000,0.9000
pastel,Pastel Dreams,7,0.8000,0.7500,0.9500
pastel,Pastel Dreams,8,0.9800,0.9700,0.9200
pastel,Pastel Dreams,9,0.8500,0.6500,0.7000
pastel,Pastel Dreams,10,0.9800,0.7500,0.8000
pastel,Pastel Dreams,11,0.7000,0.8500,0.9800
pastel,Rainbow Sherbet,0,0.9000,0.3000,0.4000
pastel,Rainbow Sherbet,1,1.0000,0.6500,0.3500
pastel,Rainbow Sherbet,2,0.6000,0.8500,0.3000
pastel,Rainbow Sherbet,3,0.9800,0.9000,0.4000
pastel,Rainbow Sherbet,4,0.4000,0.7000,0.9000
pastel,Rainbow Sherbet,5,0.9500,0.5000,0.6000
pastel,Rainbow Sherbet,6,1.0000,0.9500,0.6000
pastel,Rainbow Sherbet,7,0.5000,0.8000,0.7500
pastel,Rainbow Sherbet,8,0.9800,0.9600,0.9000
pastel,Rainbow Sherbet,9,0.7000,0.5000,0.8000
pastel,Rainbow Sherbet,10,0.9000,0.3000,0.4000
pastel,Rainbow Sherbet,11,1.0000,0.6500,0.3500
pastel,Sakura Blossom,0,1.0000,0.9000,0.9200
pastel,Sakura Blossom,1,0.9800,0.8000,0.8500
pastel,Sakura Blossom,2,1.0000,0.8500,0.9000
pastel,Sakura Blossom,3,0.9500,0.7500,0.8000
pastel,Sakura Blossom,4,0.9000,0.9500,0.8800
pastel,Sakura Blossom,5,0.8000,0.9000,0.7500
pastel,Sakura Blossom,6,1.0000,1.0000,0.9800
pastel,Sakura Blossom,7,0.9800,0.9800,0.9500
pastel,Sakura Blossom,8,0.8500,0.6000,0.7000
pastel,Sakura Blossom,9,0.7000,0.4000,0.5000
pastel,Sakura Blossom,10,0.6000,0.8000,0.5500
pastel,Sakura Blossom,11,0.9900,0.8200,0.8800
pastel,Soft Beach Sunset,0,1.0000,0.9000,0.8000
pastel,Soft Beach Sunset,1,0.9500,0.8000,0.7000
pastel,Soft Beach Sunset,2,0.9000,0.7000,0.6000
pastel,Soft Beach Sunset,3,0.8000,0.6000,0.5000
pastel,Soft Beach Sunset,4,0.7000,0.5000,0.4000
pastel,Soft Beach Sunset,5,0.6000,0.4000,0.3000
pastel,Soft Beach Sunset,6,0.5000,0.3000,0.2000
pastel,Soft Beach Sunset,7,0.4000,0.2500,0.1500
pastel,Soft Beach Sunset,8,0.8500,0.7500,0.6500
pastel,Soft Beach Sunset,9,0.9000,0.8000,0.7000
pastel,Soft Beach Sunset,10,0.7500,0.6500,0.5500
pastel,Soft Beach Sunset,11,0.6500,0.5500,0.4500
pastel,Spring Meadow,0,0.4000,0.8000,0.3000
pastel,Spring Meadow,1,1.0000,0.9000,0.2000
pastel,Spring Meadow,2,0.5000,0.7500,0.9500
pastel,Spring Meadow,3,0.7500,0.6000,0.8500
pastel,Spring Meadow,4,0.9500,0.5000,0.6000
pastel,Spring Meadow,5,1.0000,0.7000,0.3000
pastel,Spring Meadow,6,0.6000,0.8500,0.8000
pastel,Spring Meadow,7,0.9500,0.9800,1.0000
pastel,Spring Meadow,8,0.4000,0.3000,0.2000
pastel,Spring Meadow,9,0.8000,0.8500,0.9000
pastel,Spring Meadow,10,0.6000,0.9000,0.5000
pastel,Spring Meadow,11,0.9000,0.6500,0.7500
pastel,Unicorn Dream,0,0.9500,0.8000,1.0000
pastel,Unicorn Dream,1,0.8000,0.9000,1.0000
pastel,Unicorn Dream,2,0.7000,1.0000,0.9500
pastel,Unicorn Dream,3,0.9800,0.8500,0.9000
pastel,Unicorn Dream,4,0.9000,0.9500,0.8000
pastel,Unicorn Dream,5,1.0000,0.9000,0.8500
pastel,Unicorn Dream,6,0.9000,0.8500,0.9800
pastel,Unicorn Dream,7,0.8500,0.9800,0.9000
pastel,Unicorn Dream,8,0.9800,0.9000,0.9500
pastel,Unicorn Dream,9,0.9500,0.9800,0.8500
pastel,Unicorn Dream,10,0.8000,0.8000,0.9000
